URL,ID,Address,City,Postal_code,Total_price,Date,Charges,Area,Bedrooms,Type_of_property,Construction_year,Floor
https://www.finn.no/realestate/homes/ad.html?finnkode=288396017,288396017,Hertervigs Plass 1,Stavanger,4007.0,2791132.0,2023-01-24,1132.0,43.0,1.0,Leilighet,2008,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288876479,288876479,Vide,Video,,3812288.0,2023-01-24,8814.0,99.0,3.0,Leilighet,1970,1
https://www.finn.no/realestate/homes/ad.html?finnkode=288024163,288024163,Lilleengvegen 1,Hunndalen,2827.0,2153872.0,2023-01-24,53872.0,136.0,3.0,Enebolig,1949,2
https://www.finn.no/realestate/homes/ad.html?finnkode=279011095,279011095,Greinveien 37A,Tønsberg,3114.0,3062060.0,2023-01-24,10060.0,64.0,2.0,Leilighet,2009,1
https://www.finn.no/realestate/homes/ad.html?finnkode=276669714,276669714,Seljevegen 3,Kongsvinger,2213.0,2922622.0,2023-01-24,72622.0,147.0,3.0,Enebolig,1971,2
https://www.finn.no/realestate/homes/ad.html?finnkode=283172125,283172125,Radarveien 30,Oslo,1152.0,5121878.0,2023-01-24,12878.0,62.0,2.0,Leilighet,1958,3
https://www.finn.no/realestate/homes/ad.html?finnkode=272396523,272396523,Ullern Allé 41,Oslo,381.0,11747647.0,2023-01-24,296512.0,136.0,2.0,Leilighet,1982,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288884821,288884821,360° Visnin,°Visning,360.0,1809472.0,2023-01-24,1159.0,62.0,1.0,Leilighet,1971,3
https://www.finn.no/realestate/homes/ad.html?finnkode=285182204,285182204,Rennespillet 14,Blaker,1925.0,6653624.0,2023-01-24,163624.0,235.0,6.0,Enebolig,2008,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288017004,288017004,Inga F. Gjerdrums Vei 45,Billingstad,1396.0,8116342.0,2023-01-24,216342.0,146.0,3.0,Rekkehus,1971,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288738142,288738142,Kastanjeveien 76,Drammen,3026.0,2830207.0,2023-01-24,66092.0,47.0,1.0,Leilighet,1977,2
https://www.finn.no/realestate/homes/ad.html?finnkode=277865441,277865441,Solheimslio 1,FørdeIHordaland,5555.0,1282592.0,2023-01-24,32592.0,124.0,5.0,Enebolig,1959,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288884815,288884815,Kvernhusvegen 59,Lillehammer,2618.0,3486170.0,2023-01-24,86170.0,83.0,2.0,Rekkehus,1993,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288885251,288885251,Adolph Bergs Vei 60,Bergen,5089.0,5535392.0,2023-01-24,145392.0,65.0,2.0,Leilighet,2021,4
https://www.finn.no/realestate/homes/ad.html?finnkode=283500744,283500744,Fyrstikkalléen 18B,Oslo,661.0,5853757.0,2023-01-24,153142.0,71.0,1.0,Leilighet,1994,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288372770,288372770,Hellebrekkevegen 6,Notodden,3675.0,1228252.0,2023-01-24,1235.0,53.0,1.0,Leilighet,1973,2
https://www.finn.no/realestate/homes/ad.html?finnkode=265485706,265485706,Nordmannsgårdsvegen 5,Tromsdalen,9020.0,3845092.0,2023-01-24,95092.0,52.0,2.0,Leilighet,2019,4
https://www.finn.no/realestate/homes/ad.html?finnkode=286038432,286038432,360° Visnin,°Visning,360.0,2945129.0,2023-01-24,17129.0,67.0,3.0,Leilighet,1993,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288883972,288883972,Kirkeveien 35 A,Sandnessjøen,8800.0,3383670.0,2023-01-24,83670.0,175.0,3.0,Tomannsbolig,1956,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288883778,288883778,Busterudgata 14,Halden,1776.0,3403197.0,2023-01-24,8932.0,88.0,2.0,Leilighet,1982,6
https://www.finn.no/realestate/homes/ad.html?finnkode=286385759,286385759,Fredsbergvegen 17,Ålesund,6009.0,3477960.0,2023-01-24,960.0,99.0,3.0,Leilighet,1978,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288883501,288883501,Fernanda Nissens Veg 6,Trondheim,7045.0,2997860.0,2023-01-24,7860.0,68.0,2.0,Leilighet,1963,2
https://www.finn.no/realestate/homes/ad.html?finnkode=281810749,281810749,Stigeråsen 23C,Skien,3726.0,1839421.0,2023-01-24,3823.0,66.0,3.0,Leilighet,1966,3
https://www.finn.no/realestate/homes/ad.html?finnkode=278489711,278489711,Vesteråsveien 2C,Oslo,382.0,11272015.0,2023-01-24,276244.0,154.0,3.0,Leilighet,1986,2
https://www.finn.no/realestate/homes/ad.html?finnkode=268697143,268697143,Vestbygdvegen 481,Ottestad,2312.0,1826372.0,2023-01-24,46372.0,58.0,2.0,Leilighet,1910,1
https://www.finn.no/realestate/homes/ad.html?finnkode=288881319,288881319,Odins Vei 4B,Drammen,3041.0,3271850.0,2023-01-24,960.0,65.0,2.0,Leilighet,1956,4
https://www.finn.no/realestate/homes/ad.html?finnkode=288744878,288744878,Hovsletta 13,Ålen,7380.0,2048820.0,2023-01-24,58820.0,64.0,2.0,Leilighet,2020,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288882371,288882371,Strandgata 13,Risør,4950.0,3588832.0,2023-01-24,88832.0,99.0,3.0,Leilighet,1986,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288850926,288850926,Vidars Gate 15,Oslo,452.0,7381342.0,2023-01-24,181342.0,83.0,2.0,Leilighet,1929,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288881936,288881936,Øvre Sædalsvegen 16,Bergen,5099.0,3591592.0,2023-01-24,88592.0,77.0,2.0,Leilighet,2008,2
https://www.finn.no/realestate/homes/ad.html?finnkode=287952479,287952479,Vegsundhaugen 20,Ålesund,6020.0,3487620.0,2023-01-24,97620.0,129.0,3.0,Rekkehus,1999,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288746173,288746173,Kvile 17B,Steinsland,5379.0,2520720.0,2023-01-24,70720.0,100.0,3.0,Tomannsbolig,2008,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288881458,288881458,Yrjars Gate 22,Brekstad,7130.0,2561242.0,2023-01-24,71242.0,68.0,2.0,Leilighet,2000,3
https://www.finn.no/realestate/homes/ad.html?finnkode=266292789,266292789,Falletvegen 215,Espa,2338.0,2358842.0,2023-01-24,58842.0,104.0,3.0,Enebolig,1970,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288878274,288878274,Bratromveien 1A,Tranby,3408.0,2088691.0,2023-01-24,1210.0,64.0,2.0,Leilighet,1991,4
https://www.finn.no/realestate/homes/ad.html?finnkode=271871817,271871817,Myrvegen 66A,Jessheim,2052.0,5371648.0,2023-01-24,141392.0,81.0,3.0,Leilighet,2018,4
